pr,jira_key,sp,title,merged_at,days_open,comments,adoc_files,adoc_added,adoc_deleted,adoc_total,other_files,other_added,other_deleted,other_total,total_lines,new_adoc_files,assembly_files,image_files,commits
2018,RHDHBUGS-2904,3,[RHDHBUGS-2904]: Migrate link validation from htmltest to lychee,2026-04-03,0.0,3,2,8,5,13,9,217,94,311,324,0,0,0,11
2017,,,Fix PR check status not reflecting build failure,2026-04-03,0.0,2,0,0,0,0,1,4,0,4,4,0,0,0,1
2016,,,Fix build orchestrator js-yaml dependency failure in CI,2026-04-03,0.0,3,0,0,0,0,4,79,76,155,155,0,0,0,1
2015,,,Fix shellcheck workflow creating duplicate PR comments,2026-04-03,0.0,2,0,0,0,0,1,0,1,1,1,0,0,0,2
2014,RHDHBUGS-2903,8,[RHDHBUGS-2903]: Parallel build orchestrator with filtered output and PR failure comments,2026-04-03,0.0,8,0,0,0,0,6,607,67,674,674,0,0,0,5
2013,,,fix: CQA workflow fetch base branch from upstream repo,2026-04-02,0.0,2,0,0,0,0,1,3,2,5,5,0,0,0,1
2012,RHIDP-10991,5,[RHIDP-10991]: Backport custom transformer modules to release-1.9,2026-04-02,0.0,3,9,323,5,328,0,0,0,0,328,4,0,0,18
2011,,,[release-1.9-post-cqa] chore: clean up .claude/ config,2026-04-02,0.0,1,0,0,0,0,3,25,286,311,311,0,0,0,1
2010,,,chore: clean up .claude/ config,2026-04-02,0.0,4,0,0,0,0,3,25,286,311,311,0,0,0,1
2009,,,[release-1.9-post-cqa] fix: improve CQA-17 disclaimer detection accuracy,2026-04-02,0.0,1,0,0,0,0,2,24,7,31,31,0,0,0,1
2008,,,fix: improve CQA-17 disclaimer detection accuracy,2026-04-02,0.0,6,0,0,0,0,2,24,7,31,31,0,0,0,1
2006,RHDHBUGS-2640,3,[RHDHBUGS-2640]: Rename Integrating with GitHub to Integrating with your Git provider,2026-04-02,0.3,3,9,115,23,138,5,0,0,0,138,5,0,0,10
2005,,,[release-1.9-post-cqa] Improve CQA PR comment: full command and timestamp,2026-04-01,0.0,1,0,0,0,0,3,4,3,7,7,0,0,0,1
2004,,,Improve CQA PR comment: full command and timestamp,2026-04-01,0.0,5,0,0,0,0,3,4,3,7,7,0,0,0,1
